k_values,costs,centroid
1,0.00417395147647,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,0.00322215497566,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]"
3,0.00285485430064,"[0, 2, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 1, 0, 1, 0, 2, 0, 2, 2, 1, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 1, 1, 2, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1, 2, 1, 0, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2]"
4,0.00274876478515,"[3, 2, 2, 3, 3, 3, 0, 3, 1, 1, 3, 3, 3, 3, 0, 0, 1, 0, 3, 2, 0, 2, 3, 0, 0, 0, 3, 3, 3, 3, 1, 2, 0, 3, 0, 3, 0, 0, 2, 0, 2, 0, 3, 0, 3, 0, 3, 1, 3, 0, 2, 0, 2, 0, 3, 3, 0, 3, 2, 1, 1, 2, 3, 2, 1, 2, 0, 2, 0, 3, 0, 0, 2, 0, 0, 1, 3, 2, 3, 3, 1, 0, 1, 3, 0, 3, 0, 0, 2, 3, 2, 3, 0, 3, 2, 2, 3, 1, 0, 1, 0, 2, 3, 2, 2, 1, 0, 3, 0, 2, 0, 3, 3, 0, 3, 3, 3, 3, 2, 2, 1, 1, 2, 0, 2, 1, 3, 2, 1, 0, 0, 2, 0, 2, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0, 3, 3, 0, 0, 3, 2, 0, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0, 0, 2, 3, 3, 3, 1, 2, 1, 1, 3, 0, 0, 0, 3, 2, 3, 2]"
5,0.00244361591071,"[4, 1, 4, 0, 0, 0, 2, 4, 0, 3, 0, 0, 4, 4, 2, 4, 3, 4, 0, 1, 2, 1, 4, 2, 2, 2, 1, 4, 4, 0, 3, 1, 2, 0, 2, 0, 2, 0, 1, 2, 1, 2, 0, 4, 0, 4, 4, 3, 0, 2, 1, 2, 1, 2, 0, 4, 2, 0, 1, 3, 3, 1, 1, 1, 3, 1, 2, 1, 2, 0, 2, 4, 1, 2, 2, 3, 4, 1, 0, 4, 3, 4, 3, 4, 2, 0, 2, 2, 1, 4, 1, 0, 2, 4, 1, 1, 4, 3, 4, 3, 2, 1, 4, 1, 1, 3, 2, 4, 2, 1, 4, 0, 0, 4, 4, 4, 4, 4, 1, 1, 3, 3, 1, 2, 1, 3, 4, 1, 3, 2, 2, 1, 2, 1, 4, 2, 4, 4, 4, 2, 2, 0, 2, 2, 2, 2, 0, 2, 4, 2, 1, 2, 1, 2, 2, 2, 2, 1, 4, 2, 2, 0, 1, 2, 1, 3, 3, 4, 4, 0, 4, 2, 1, 4, 2, 1, 4, 4, 1, 4, 4, 4, 3, 1, 3, 2, 4, 2, 2, 4, 4, 1, 1, 1]"
6,0.00239309391564,"[2, 2, 2, 0, 0, 0, 3, 1, 0, 4, 0, 0, 2, 0, 3, 1, 4, 1, 0, 2, 3, 2, 2, 1, 1, 1, 5, 0, 1, 0, 4, 2, 3, 0, 3, 0, 3, 0, 5, 3, 5, 1, 0, 1, 0, 1, 2, 4, 0, 1, 5, 3, 5, 3, 0, 0, 3, 0, 2, 4, 4, 5, 2, 2, 4, 5, 1, 2, 3, 0, 3, 1, 5, 1, 3, 4, 2, 1, 0, 2, 4, 1, 4, 2, 3, 0, 1, 1, 5, 2, 2, 0, 1, 1, 5, 5, 2, 4, 1, 4, 1, 5, 1, 2, 5, 4, 3, 0, 3, 2, 1, 0, 0, 1, 2, 2, 1, 2, 2, 2, 4, 4, 2, 3, 5, 4, 2, 2, 4, 3, 1, 5, 1, 5, 1, 3, 2, 1, 1, 1, 1, 0, 1, 1, 1, 3, 0, 3, 2, 3, 2, 1, 5, 3, 1, 3, 3, 2, 2, 3, 3, 0, 5, 1, 2, 4, 4, 2, 2, 0, 1, 3, 5, 0, 1, 2, 1, 1, 2, 0, 1, 2, 4, 2, 4, 3, 2, 3, 1, 1, 2, 5, 2, 2]"
7,0.00230326033681,"[2, 6, 6, 0, 0, 0, 1, 6, 0, 4, 0, 0, 2, 2, 1, 6, 4, 1, 0, 3, 1, 3, 2, 6, 1, 1, 5, 0, 6, 0, 4, 3, 5, 5, 1, 0, 1, 5, 3, 1, 3, 1, 0, 1, 0, 2, 2, 4, 5, 1, 3, 1, 3, 1, 5, 2, 1, 0, 3, 4, 4, 6, 5, 3, 4, 3, 1, 3, 1, 5, 5, 1, 3, 1, 1, 4, 2, 6, 0, 2, 4, 1, 4, 2, 1, 2, 6, 1, 3, 2, 3, 0, 1, 2, 3, 3, 2, 4, 1, 4, 1, 3, 6, 3, 3, 4, 5, 5, 1, 3, 1, 0, 6, 1, 2, 2, 6, 2, 3, 3, 4, 4, 3, 5, 3, 4, 2, 3, 4, 1, 6, 6, 1, 3, 1, 1, 6, 2, 6, 1, 6, 2, 1, 1, 1, 1, 0, 1, 2, 5, 6, 1, 3, 1, 1, 1, 1, 3, 2, 5, 1, 0, 3, 1, 3, 4, 4, 2, 6, 0, 1, 5, 5, 1, 1, 3, 1, 6, 3, 5, 6, 2, 4, 3, 4, 4, 6, 5, 1, 6, 2, 3, 2, 2]"
8,0.00224177810671,"[2, 0, 0, 1, 1, 1, 6, 2, 6, 4, 1, 1, 2, 2, 6, 7, 4, 7, 1, 0, 6, 0, 2, 7, 7, 7, 3, 2, 2, 1, 4, 0, 3, 1, 6, 1, 7, 3, 5, 6, 5, 7, 1, 7, 1, 7, 2, 4, 3, 7, 5, 7, 5, 7, 3, 2, 7, 1, 0, 4, 4, 5, 2, 0, 4, 5, 7, 0, 7, 3, 3, 7, 5, 7, 6, 4, 2, 0, 1, 2, 6, 7, 6, 2, 6, 2, 7, 7, 5, 2, 0, 1, 7, 2, 5, 5, 2, 6, 7, 4, 7, 5, 2, 0, 5, 6, 3, 2, 7, 0, 7, 1, 1, 7, 2, 2, 2, 2, 0, 0, 4, 4, 0, 3, 5, 4, 2, 0, 6, 6, 7, 5, 7, 0, 7, 6, 2, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 2, 3, 0, 7, 5, 6, 7, 6, 7, 2, 2, 3, 6, 1, 5, 7, 0, 4, 4, 2, 2, 1, 7, 3, 5, 7, 7, 0, 7, 7, 0, 2, 2, 2, 4, 0, 4, 6, 2, 3, 7, 7, 2, 5, 2, 2]"
9,0.00221635588286,"[1, 3, 3, 5, 5, 5, 2, 0, 8, 7, 5, 5, 1, 1, 8, 0, 7, 2, 5, 3, 2, 3, 1, 0, 0, 0, 6, 1, 0, 5, 7, 3, 6, 6, 8, 5, 2, 6, 3, 2, 3, 8, 8, 1, 5, 1, 1, 7, 6, 0, 4, 2, 3, 2, 6, 8, 6, 5, 3, 7, 7, 3, 6, 3, 7, 3, 0, 3, 2, 6, 6, 1, 4, 2, 8, 8, 1, 0, 5, 1, 8, 8, 8, 1, 8, 5, 0, 2, 4, 1, 3, 8, 0, 1, 4, 4, 1, 8, 0, 7, 2, 4, 0, 3, 3, 8, 6, 6, 2, 3, 2, 5, 5, 0, 1, 1, 0, 1, 3, 3, 7, 7, 3, 6, 4, 7, 1, 3, 7, 2, 2, 4, 2, 3, 0, 8, 1, 1, 0, 0, 0, 5, 0, 2, 2, 2, 5, 2, 1, 6, 3, 2, 4, 8, 2, 8, 2, 1, 1, 6, 8, 5, 3, 2, 3, 7, 7, 1, 1, 5, 0, 6, 6, 1, 2, 3, 8, 0, 3, 6, 0, 1, 7, 3, 8, 8, 1, 6, 2, 0, 1, 4, 1, 1]"
10,0.00201467098493,"[9, 8, 8, 7, 7, 7, 3, 1, 3, 5, 7, 7, 9, 9, 3, 2, 5, 1, 7, 8, 4, 8, 6, 2, 1, 1, 6, 1, 1, 7, 5, 8, 6, 6, 3, 7, 4, 7, 0, 3, 0, 1, 1, 1, 7, 2, 9, 5, 6, 1, 0, 4, 6, 4, 6, 3, 1, 7, 8, 5, 5, 8, 6, 8, 5, 0, 1, 4, 4, 6, 6, 1, 0, 4, 3, 3, 9, 8, 7, 9, 3, 3, 3, 9, 3, 7, 2, 1, 0, 9, 9, 7, 1, 9, 0, 0, 9, 3, 1, 5, 4, 0, 1, 8, 6, 3, 3, 6, 4, 8, 4, 1, 7, 1, 4, 9, 1, 9, 8, 8, 5, 5, 9, 6, 0, 5, 9, 9, 5, 3, 4, 8, 4, 8, 1, 3, 9, 2, 1, 1, 2, 9, 2, 4, 4, 4, 7, 4, 9, 6, 8, 2, 0, 3, 1, 3, 4, 6, 9, 6, 3, 7, 0, 1, 6, 5, 5, 9, 9, 7, 1, 6, 6, 1, 2, 9, 1, 1, 8, 6, 1, 9, 3, 9, 3, 3, 9, 6, 2, 1, 9, 0, 6, 9]"
11,0.00203679934078,"[5, 6, 6, 7, 7, 7, 2, 0, 2, 9, 7, 7, 5, 5, 2, 10, 9, 4, 7, 6, 4, 6, 5, 10, 2, 0, 8, 0, 0, 7, 9, 6, 2, 5, 2, 7, 4, 2, 1, 2, 1, 4, 2, 4, 7, 3, 5, 9, 8, 0, 1, 4, 1, 4, 8, 3, 2, 7, 6, 9, 9, 10, 5, 6, 9, 1, 0, 6, 4, 7, 8, 4, 1, 4, 2, 9, 5, 10, 7, 5, 9, 2, 9, 5, 2, 7, 10, 4, 1, 5, 6, 2, 0, 5, 1, 1, 5, 2, 0, 9, 4, 1, 10, 6, 1, 2, 8, 5, 4, 6, 4, 0, 10, 0, 3, 5, 0, 5, 6, 1, 9, 9, 5, 8, 1, 9, 5, 6, 2, 2, 4, 1, 4, 6, 0, 8, 5, 3, 10, 0, 10, 7, 4, 4, 4, 8, 7, 8, 5, 8, 6, 4, 1, 2, 4, 2, 4, 5, 5, 8, 8, 7, 1, 4, 5, 9, 9, 5, 5, 7, 0, 8, 5, 0, 4, 5, 0, 0, 6, 5, 10, 5, 9, 5, 9, 2, 5, 8, 4, 0, 5, 1, 5, 5]"
12,0.00194427588872,"[1, 11, 11, 1, 1, 1, 4, 9, 6, 3, 1, 1, 8, 1, 6, 5, 3, 6, 1, 11, 7, 11, 8, 5, 6, 9, 8, 6, 9, 1, 3, 11, 4, 8, 4, 1, 7, 4, 0, 7, 0, 6, 6, 6, 1, 2, 8, 3, 8, 9, 0, 7, 8, 7, 4, 2, 6, 1, 11, 3, 3, 11, 8, 11, 3, 0, 9, 11, 7, 8, 4, 6, 0, 7, 6, 3, 8, 11, 1, 2, 3, 6, 6, 8, 6, 1, 5, 7, 0, 8, 11, 6, 6, 2, 0, 0, 8, 6, 6, 3, 7, 0, 9, 11, 0, 6, 4, 8, 7, 11, 7, 6, 1, 9, 2, 8, 9, 8, 11, 0, 3, 3, 11, 4, 0, 3, 2, 11, 10, 4, 7, 0, 7, 11, 6, 4, 8, 2, 9, 9, 5, 1, 5, 7, 7, 7, 1, 7, 8, 4, 11, 5, 0, 6, 6, 6, 7, 8, 8, 4, 4, 1, 0, 7, 8, 3, 3, 1, 8, 1, 9, 8, 8, 6, 5, 11, 9, 9, 11, 8, 8, 8, 3, 8, 3, 4, 8, 4, 5, 9, 8, 0, 8, 8]"
