k_values,costs,centroid
11,0.00192765191678,"[1, 10, 10, 0, 0, 0, 6, 8, 6, 4, 0, 0, 1, 1, 6, 8, 4, 8, 0, 10, 2, 10, 7, 5, 8, 8, 7, 8, 8, 0, 4, 10, 7, 7, 6, 0, 2, 5, 9, 6, 9, 8, 8, 8, 0, 3, 1, 4, 7, 8, 9, 2, 7, 2, 7, 1, 8, 0, 10, 4, 4, 10, 7, 10, 4, 9, 8, 10, 2, 7, 5, 8, 9, 2, 6, 6, 7, 10, 0, 1, 6, 6, 6, 10, 6, 1, 8, 2, 9, 1, 10, 0, 8, 1, 9, 9, 1, 6, 8, 4, 2, 9, 8, 10, 7, 6, 5, 7, 2, 10, 2, 8, 0, 8, 3, 1, 8, 7, 10, 9, 4, 4, 10, 5, 9, 4, 1, 10, 4, 6, 2, 9, 2, 10, 8, 6, 7, 3, 8, 8, 8, 1, 8, 2, 2, 2, 0, 2, 1, 5, 10, 2, 9, 6, 8, 6, 2, 7, 7, 7, 6, 0, 9, 2, 7, 4, 4, 1, 7, 0, 8, 7, 7, 8, 2, 10, 8, 8, 10, 7, 8, 7, 6, 7, 6, 6, 7, 7, 2, 8, 1, 9, 7, 1]"
12,0.00188105977861,"[11, 0, 0, 11, 11, 11, 9, 4, 11, 3, 11, 11, 7, 11, 4, 6, 3, 4, 11, 1, 9, 1, 7, 6, 4, 4, 8, 4, 0, 11, 3, 1, 8, 7, 9, 11, 9, 8, 7, 9, 7, 4, 4, 4, 11, 2, 7, 3, 8, 4, 10, 9, 7, 9, 8, 2, 4, 11, 1, 3, 3, 0, 7, 1, 3, 7, 4, 1, 9, 8, 8, 4, 10, 9, 4, 3, 7, 0, 11, 2, 3, 4, 3, 7, 4, 11, 6, 4, 10, 7, 7, 11, 4, 2, 10, 10, 7, 3, 4, 3, 4, 10, 0, 7, 7, 3, 5, 8, 9, 1, 4, 4, 0, 4, 2, 7, 0, 7, 1, 7, 3, 3, 7, 8, 10, 3, 2, 7, 5, 9, 0, 0, 9, 1, 4, 9, 7, 2, 0, 4, 6, 11, 6, 9, 9, 9, 11, 9, 7, 8, 1, 6, 10, 9, 4, 9, 9, 7, 7, 8, 9, 11, 7, 4, 7, 3, 3, 7, 0, 11, 4, 8, 7, 4, 6, 7, 4, 0, 7, 7, 0, 7, 3, 7, 3, 9, 0, 8, 6, 4, 7, 10, 7, 7]"
13,0.00190214719758,"[12, 3, 3, 8, 0, 8, 5, 7, 11, 10, 8, 8, 12, 12, 11, 9, 10, 7, 0, 3, 6, 3, 0, 9, 7, 7, 0, 0, 7, 8, 10, 3, 0, 0, 5, 8, 6, 5, 2, 5, 2, 11, 11, 12, 8, 9, 12, 10, 0, 7, 2, 6, 2, 6, 0, 11, 7, 8, 2, 10, 10, 4, 0, 3, 10, 2, 7, 6, 6, 0, 1, 7, 2, 6, 5, 11, 0, 7, 8, 12, 11, 11, 11, 12, 11, 8, 9, 9, 2, 12, 2, 11, 7, 12, 4, 4, 12, 5, 7, 10, 6, 2, 7, 3, 0, 11, 1, 0, 6, 2, 6, 7, 7, 7, 12, 12, 7, 12, 2, 2, 10, 10, 2, 1, 4, 10, 12, 2, 5, 5, 6, 4, 6, 3, 7, 11, 0, 9, 7, 7, 9, 12, 9, 6, 6, 6, 8, 6, 12, 1, 3, 9, 4, 11, 7, 11, 6, 0, 12, 0, 11, 8, 2, 6, 0, 10, 10, 12, 0, 8, 7, 0, 0, 7, 9, 2, 11, 7, 2, 0, 7, 0, 11, 2, 11, 5, 0, 0, 9, 7, 12, 4, 0, 12]"
14,0.00183334319883,"[6, 2, 2, 11, 4, 11, 3, 5, 4, 8, 11, 4, 6, 6, 0, 9, 8, 5, 4, 2, 0, 2, 6, 9, 5, 5, 1, 4, 9, 11, 8, 2, 4, 4, 3, 11, 0, 13, 7, 3, 1, 0, 4, 0, 11, 10, 6, 8, 4, 5, 12, 0, 1, 0, 4, 6, 4, 11, 2, 8, 8, 9, 1, 2, 8, 1, 0, 2, 0, 4, 13, 0, 12, 0, 3, 8, 4, 9, 11, 6, 3, 4, 3, 6, 3, 6, 9, 5, 7, 6, 2, 4, 5, 6, 12, 12, 6, 3, 5, 8, 0, 7, 9, 2, 1, 3, 13, 4, 0, 2, 5, 5, 5, 5, 10, 6, 9, 6, 2, 2, 8, 8, 2, 13, 7, 8, 6, 2, 3, 3, 9, 9, 0, 2, 5, 3, 4, 10, 9, 5, 9, 6, 0, 0, 0, 0, 4, 0, 6, 13, 2, 0, 1, 3, 0, 3, 0, 1, 6, 4, 3, 11, 1, 5, 1, 8, 8, 6, 6, 4, 5, 4, 7, 5, 0, 2, 5, 9, 2, 1, 9, 4, 3, 2, 3, 3, 6, 4, 0, 5, 6, 12, 1, 6]"
15,0.00169248658608,"[1, 7, 7, 10, 10, 10, 0, 2, 0, 5, 10, 10, 1, 1, 6, 3, 5, 6, 10, 4, 6, 4, 14, 3, 6, 6, 14, 2, 2, 10, 5, 4, 8, 14, 0, 10, 6, 8, 4, 0, 4, 6, 0, 6, 10, 12, 1, 5, 8, 6, 9, 6, 14, 6, 8, 1, 6, 10, 4, 5, 5, 7, 14, 4, 5, 4, 6, 4, 6, 8, 8, 6, 9, 3, 0, 0, 14, 7, 10, 1, 0, 0, 0, 14, 0, 1, 3, 6, 9, 14, 4, 10, 6, 1, 9, 11, 1, 0, 6, 5, 6, 9, 2, 4, 14, 0, 8, 14, 6, 4, 6, 10, 7, 2, 12, 14, 2, 14, 4, 4, 5, 5, 4, 8, 9, 5, 1, 4, 13, 0, 6, 7, 6, 4, 6, 0, 14, 12, 7, 6, 3, 1, 3, 6, 6, 6, 10, 6, 1, 8, 7, 3, 9, 0, 6, 0, 6, 14, 14, 8, 0, 10, 9, 6, 14, 5, 5, 1, 14, 10, 2, 8, 14, 6, 3, 4, 2, 2, 4, 14, 7, 14, 0, 4, 0, 0, 14, 8, 3, 6, 1, 9, 14, 1]"
16,0.00178474729196,"[12, 4, 4, 14, 1, 14, 0, 15, 14, 10, 12, 12, 12, 12, 15, 9, 10, 15, 1, 4, 13, 4, 1, 9, 1, 15, 1, 1, 3, 14, 10, 4, 7, 1, 0, 14, 13, 7, 8, 0, 8, 15, 14, 15, 3, 6, 12, 10, 7, 15, 11, 13, 8, 13, 7, 12, 7, 12, 4, 10, 10, 3, 1, 4, 10, 8, 15, 11, 13, 7, 2, 15, 11, 13, 15, 10, 1, 3, 14, 12, 0, 15, 0, 1, 15, 12, 9, 13, 5, 1, 8, 7, 15, 12, 5, 5, 12, 14, 15, 10, 13, 11, 3, 8, 8, 0, 2, 1, 13, 4, 13, 14, 3, 15, 6, 1, 3, 1, 4, 8, 10, 10, 8, 2, 5, 10, 12, 4, 14, 0, 13, 3, 13, 11, 15, 0, 1, 6, 3, 15, 9, 12, 9, 13, 13, 13, 7, 13, 12, 0, 4, 0, 5, 0, 15, 0, 13, 1, 1, 7, 0, 14, 8, 13, 8, 10, 10, 12, 1, 7, 15, 7, 1, 1, 9, 8, 15, 1, 4, 1, 3, 1, 10, 8, 10, 0, 1, 7, 9, 3, 12, 5, 1, 12]"
17,0.00181104310086,"[16, 7, 7, 0, 2, 0, 1, 5, 1, 14, 0, 0, 16, 16, 1, 9, 14, 8, 2, 12, 8, 12, 2, 9, 2, 5, 4, 5, 5, 0, 14, 12, 4, 2, 1, 0, 8, 4, 11, 1, 11, 8, 0, 16, 0, 9, 16, 14, 4, 5, 11, 8, 15, 8, 4, 1, 4, 0, 11, 14, 14, 7, 2, 12, 14, 11, 5, 11, 8, 2, 4, 8, 15, 8, 1, 1, 2, 7, 0, 6, 1, 1, 1, 7, 1, 6, 9, 9, 15, 16, 11, 0, 5, 16, 15, 15, 16, 1, 5, 14, 8, 11, 7, 7, 11, 1, 3, 2, 8, 11, 8, 0, 7, 5, 13, 2, 5, 16, 12, 11, 14, 14, 11, 4, 15, 14, 16, 16, 10, 1, 8, 13, 8, 12, 5, 1, 2, 9, 7, 5, 9, 6, 9, 8, 8, 8, 0, 8, 16, 4, 12, 9, 15, 1, 8, 1, 8, 2, 2, 4, 3, 0, 15, 8, 2, 14, 14, 6, 7, 0, 5, 4, 2, 2, 9, 11, 5, 5, 16, 2, 7, 2, 1, 11, 1, 1, 2, 4, 9, 5, 6, 15, 2, 6]"
18,0.00166033489031,"[17, 10, 10, 9, 15, 9, 3, 13, 8, 5, 15, 15, 17, 15, 8, 6, 5, 11, 15, 10, 14, 10, 17, 6, 13, 13, 2, 8, 6, 9, 5, 10, 2, 7, 3, 9, 14, 12, 7, 3, 7, 11, 8, 11, 15, 1, 17, 5, 2, 13, 4, 14, 7, 14, 2, 8, 13, 15, 10, 5, 5, 10, 7, 10, 5, 7, 11, 14, 14, 2, 2, 11, 4, 14, 3, 8, 7, 10, 9, 17, 3, 8, 3, 17, 8, 15, 6, 13, 4, 17, 7, 8, 13, 17, 4, 4, 17, 8, 11, 5, 14, 7, 6, 10, 7, 8, 2, 17, 14, 10, 13, 13, 13, 11, 16, 17, 6, 17, 10, 7, 5, 5, 7, 2, 4, 5, 17, 10, 0, 3, 14, 7, 14, 10, 11, 3, 17, 1, 13, 13, 6, 15, 11, 14, 14, 14, 15, 14, 17, 2, 10, 11, 4, 8, 11, 3, 14, 7, 17, 2, 3, 15, 7, 13, 7, 5, 5, 17, 17, 15, 11, 2, 7, 13, 11, 7, 11, 6, 7, 7, 13, 17, 3, 7, 3, 3, 17, 2, 11, 13, 17, 4, 7, 17]"
19,0.00160920905771,"[6, 18, 5, 10, 12, 10, 15, 2, 17, 3, 10, 12, 16, 6, 17, 7, 3, 4, 12, 5, 4, 5, 16, 7, 12, 2, 9, 12, 2, 10, 3, 5, 12, 12, 15, 10, 4, 1, 8, 15, 8, 4, 17, 2, 10, 14, 6, 3, 12, 2, 11, 4, 8, 4, 12, 17, 12, 10, 5, 3, 3, 18, 16, 5, 3, 8, 2, 4, 4, 12, 0, 4, 8, 4, 17, 17, 16, 18, 10, 6, 17, 17, 17, 16, 15, 6, 7, 15, 8, 16, 8, 12, 2, 6, 11, 11, 6, 17, 2, 3, 4, 8, 2, 5, 8, 17, 1, 12, 4, 5, 4, 10, 18, 2, 14, 16, 2, 16, 18, 16, 3, 3, 6, 1, 8, 3, 6, 5, 1, 15, 4, 18, 4, 5, 2, 15, 16, 14, 18, 2, 7, 6, 15, 4, 4, 4, 13, 4, 6, 9, 5, 15, 8, 17, 4, 15, 4, 16, 16, 9, 15, 10, 8, 4, 16, 3, 3, 6, 16, 12, 2, 9, 8, 12, 15, 6, 2, 2, 16, 16, 18, 16, 17, 16, 17, 15, 16, 9, 15, 2, 6, 11, 16, 6]"
20,0.00163482330669,"[7, 10, 10, 7, 7, 7, 14, 9, 6, 13, 7, 7, 16, 7, 6, 15, 13, 9, 7, 3, 2, 3, 17, 15, 9, 9, 4, 6, 9, 7, 13, 3, 4, 6, 14, 7, 14, 4, 18, 14, 18, 9, 6, 16, 7, 15, 5, 13, 4, 9, 18, 2, 17, 2, 4, 16, 9, 7, 18, 13, 13, 10, 17, 3, 13, 18, 9, 18, 2, 4, 4, 9, 18, 2, 14, 13, 17, 10, 7, 16, 13, 6, 13, 17, 8, 7, 15, 2, 1, 17, 18, 8, 9, 16, 1, 1, 16, 13, 9, 13, 2, 18, 10, 17, 17, 13, 14, 17, 2, 18, 2, 9, 10, 9, 12, 17, 9, 17, 19, 17, 13, 11, 18, 4, 1, 13, 16, 17, 11, 14, 8, 0, 2, 18, 9, 14, 17, 15, 10, 9, 15, 7, 15, 2, 2, 8, 4, 14, 17, 14, 3, 15, 1, 14, 9, 14, 8, 17, 17, 8, 14, 7, 17, 2, 17, 13, 13, 5, 17, 7, 9, 8, 17, 9, 15, 5, 9, 9, 17, 17, 10, 17, 13, 18, 13, 14, 17, 8, 15, 9, 5, 1, 17, 5]"
